"","day","month","year","plot","subplot","focal","fruit","BEMA","CHFU","CHMI","CETE","HOMA","LEMA","PAIN","PLCO","POMA","POMO","PUPA","SASO","SCLA","SPRU","MESU","MEEL","SOAS","SUSP","seed","comments","observers"
"54",10,6,2015,5,"B3","PUPA",4,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,272,"0","0"
"55",10,6,2015,5,"B4","PAIN",6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,138,"0","0"
"56",10,6,2015,5,"B4","PUPA",1,0,1,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,68,"0","0"
"57",10,6,2015,5,"B5","PAIN",3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"58",10,6,2015,5,"B5","PUPA",1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,68,"0","0"
"59",10,6,2015,5,"B6","PAIN",17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,391,"0","0"
"60",10,6,2015,5,"C1","PAIN",7,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"61",10,6,2015,5,"C1","PUPA",10,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,680,"0","0"
"62",10,6,2015,5,"C2","PAIN",24,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,552,"0","0"
"63",10,6,2015,5,"C2","PUPA",19,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1000,"0","0"
"64",10,6,2015,5,"C3","PAIN",5,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"65",10,6,2015,5,"C4","PAIN",8,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,184,"0","0"
"66",10,6,2015,5,"C5","PAIN",3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"67",10,6,2015,5,"C6","PAIN",2,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,46,"0","0"
"68",10,6,2015,5,"D1","PAIN",5,0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,115,"0","0"
"69",10,6,2015,5,"D2","PAIN",8,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"70",10,6,2015,5,"D2","PUPA",9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,612,"0","0"
"71",10,6,2015,5,"D3","PAIN",4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92,"0","0"
"72",10,6,2015,5,"D5","PAIN",2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46,"0","0"
"73",10,6,2015,5,"D5","PAIN",3,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"74",10,6,2015,5,"D6","PAIN",2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,46,"0","0"
"75",10,6,2015,5,"E1","PAIN",2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,46,"0","0"
"76",10,6,2015,5,"E2","PAIN",4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,"0","0"
"77",10,6,2015,5,"E3","PAIN",5,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,115,"0","0"
"78",10,6,2015,5,"E4","PAIN",3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"79",10,6,2015,5,"E5","PAIN",11,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,253,"0","0"
"80",10,6,2015,5,"E6","PAIN",4,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,92,"0","0"
"81",10,6,2015,5,"F1","PAIN",6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,138,"0","0"
"82",10,6,2015,5,"F2","PAIN",7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"83",10,6,2015,5,"F3","PAIN",8,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,184,"0","0"
"84",10,6,2015,5,"F4","PAIN",5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"85",10,6,2015,5,"F5","PAIN",8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,184,"0","0"
"86",10,6,2015,5,"F6","PAIN",4,0,1,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,0,92,"0","0"
"87",10,6,2015,4,"A1","PAIN",12,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,276,"0","0"
"88",10,6,2015,4,"A1","PUPA",18,0,0,0,0,0,0,1,2,0,4,1,0,0,0,0,0,0,0,1000,"0","0"
"89",10,6,2015,4,"A2","PAIN",7,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"90",10,6,2015,4,"A5","PAIN",6,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,138,"0","0"
"91",10,6,2015,4,"A5","PAIN",4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,92,"0","0"
"92",10,6,2015,4,"A5","PAIN",3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"93",10,6,2015,4,"A6","PAIN",6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,138,"0","0"
"94",10,6,2015,4,"A6","PUPA",17,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"0","0"
"95",10,6,2015,4,"B1","PAIN",22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,506,"0","0"
"96",10,6,2015,4,"B2","PAIN",6,0,1,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,138,"0","0"
"97",10,6,2015,4,"B3","PAIN",12,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,276,"0","0"
"98",10,6,2015,4,"B3","PUPA",6,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,408,"0","0"
"99",10,6,2015,4,"B4","PAIN",8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"100",10,6,2015,4,"B5","PAIN",6,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,138,"0","0"
"101",10,6,2015,4,"B6","PAIN",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,69,"0","0"
"102",10,6,2015,4,"B6","PUPA",7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,"0","0"
"103",10,6,2015,4,"C1","PAIN",4,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,92,"0","0"
"104",10,6,2015,4,"C2","PAIN",8,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,184,"0","0"
"105",10,6,2015,4,"C3","PAIN",6,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,138,"0","0"
"106",10,6,2015,4,"C4","PAIN",7,1,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,161,"0","0"
"107",10,6,2015,4,"C5","PAIN",8,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,184,"0","0"
"108",10,6,2015,4,"C6","PAIN",15,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,345,"0","0"
"109",10,6,2015,4,"D1","PAIN",22,0,2,0,0,0,0,0,0,6,0,0,2,1,0,0,0,0,0,506,"0","0"
"110",10,6,2015,4,"D2","PAIN",8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"111",10,6,2015,4,"D2","PUPA",4,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,1,0,0,272,"0","0"
"112",10,6,2015,4,"D3","PAIN",16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,368,"0","0"
"113",10,6,2015,4,"D4","PAIN",9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,207,"0","0"
"114",10,6,2015,4,"D4","PUPA",10,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,680,"0","0"
"115",10,6,2015,4,"D5","PAIN",7,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,161,"0","0"
"116",10,6,2015,4,"D6","PAIN",10,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,230,"0","0"
"117",10,6,2015,4,"D6","PUPA",1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,68,"0","0"
"118",10,6,2015,4,"E1","PAIN",8,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"119",10,6,2015,4,"E2","PAIN",5,0,3,0,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,115,"0","0"
"120",10,6,2015,4,"E2","PAIN",7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,161,"0","0"
"121",10,6,2015,4,"E3","PAIN",5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,115,"0","0"
"122",10,6,2015,4,"E4","PAIN",5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"123",10,6,2015,4,"E5","PAIN",6,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,138,"0","0"
"124",10,6,2015,4,"E6","PAIN",3,0,2,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,69,"0","0"
"125",10,6,2015,4,"F1","PAIN",2,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,"0","0"
"126",10,6,2015,4,"F2","PAIN",12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,276,"0","0"
"127",10,6,2015,4,"F3","PAIN",7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"128",10,6,2015,4,"F4","PAIN",13,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,299,"0","0"
"129",10,6,2015,4,"F4","PUPA",13,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,884,"0","0"
"130",10,6,2015,4,"F5","PAIN",2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,46,"0","0"
"131",10,6,2015,4,"F6","PAIN",8,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"132",10,6,2015,4,"F6","PUPA",9,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,612,"0","0"
"133",10,6,2015,4,"F6","PUPA",5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,340,"0","0"
"134",10,6,2015,1,"A1","PAIN",18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,414,"0","0"
"135",10,6,2015,1,"A2","PAIN",8,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,184,"0","0"
"136",10,6,2015,1,"A3","PAIN",6,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,138,"0","0"
"137",10,6,2015,1,"A3","PUPA",2,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,136,"0","0"
"138",10,6,2015,1,"A4","PAIN",1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,23,"0","0"
"139",10,6,2015,1,"A5","PAIN",1,0,3,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,23,"0","0"
"140",10,6,2015,1,"A6","PAIN",1,0,0,0,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,23,"0","0"
"141",10,6,2015,1,"B1","PAIN",2,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,46,"0","0"
"142",10,6,2015,1,"B1","PUPA",8,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,544,"0","0"
"143",10,6,2015,1,"B2","PAIN",5,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,0,0,115,"0","0"
"144",10,6,2015,1,"B2","PUPA",2,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,136,"0","0"
"145",10,6,2015,1,"B3","PUPA",1,0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,0,0,68,"0","0"
"146",10,6,2015,1,"B3","PUPA",5,0,2,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,0,340,"0","0"
"147",10,6,2015,1,"B3","PUPA",1,0,0,0,0,0,0,0,2,2,2,0,11,0,0,0,0,0,0,68,"0","0"
"148",10,6,2015,1,"B3","PAIN",3,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,69,"0","0"
"149",10,6,2015,1,"B4","PAIN",3,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,69,"0","0"
"150",10,6,2015,1,"B4","PUPA",6,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,408,"0","0"
"151",10,6,2015,1,"B5","PAIN",1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,23,"0","0"
"152",10,6,2015,1,"B6","PAIN",2,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,46,"0","0"
"153",10,6,2015,1,"C1","PAIN",2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,46,"0","0"
"154",10,6,2015,1,"C1","PUPA",5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,340,"0","0"
"155",10,6,2015,1,"C2","PUPA",64,0,0,0,0,1,0,0,0,2,1,0,3,1,0,0,0,0,0,1000,"0","0"
"156",10,6,2015,1,"C2","PAIN",5,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"157",10,6,2015,1,"C3","PUPA",4,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,272,"0","0"
"158",10,6,2015,1,"C3","PUPA",5,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,340,"0","0"
"159",10,6,2015,1,"C3","PAIN",10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,230,"0","0"
"160",10,6,2015,1,"C4","PAIN",4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,92,"0","0"
"161",10,6,2015,1,"C5","PAIN",6,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,138,"0","0"
"162",10,6,2015,1,"C6","PUPA",4,0,3,0,0,0,0,0,1,3,0,0,3,0,0,0,0,0,0,272,"0","0"
"163",10,6,2015,1,"C6","PAIN",15,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,345,"0","0"
"164",10,6,2015,1,"D1","PAIN",4,1,3,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,92,"0","0"
"165",10,6,2015,1,"D2","PUPA",4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,272,"0","0"
"166",10,6,2015,1,"D2","PUPA",34,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1000,"0","0"
"167",10,6,2015,1,"D2","PAIN",5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,115,"0","0"
"168",10,6,2015,1,"D3","PAIN",9,0,0,0,0,0,1,1,2,4,1,0,0,0,0,0,0,0,0,207,"0","0"
"169",10,6,2015,1,"D3","PUPA",9,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,612,"0","0"
"170",10,6,2015,1,"D4","PAIN",3,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,69,"0","0"
"171",10,6,2015,1,"D5","PAIN",3,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,69,"0","0"
"172",10,6,2015,1,"D6","PAIN",8,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,184,"0","0"
"173",10,6,2015,1,"E1","PAIN",5,0,0,0,0,1,0,2,0,5,1,0,2,0,0,0,0,0,0,115,"0","0"
"174",10,6,2015,1,"E2","PUPA",15,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1000,"0","0"
"175",10,6,2015,1,"E2","PUPA",21,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1000,"0","0"
"176",10,6,2015,1,"E2","PAIN",5,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,115,"0","0"
"177",10,6,2015,1,"E3","PAIN",6,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,138,"0","0"
"178",10,6,2015,1,"E4","PAIN",7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,161,"0","0"
"179",10,6,2015,1,"E5","PAIN",15,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,345,"0","0"
"180",10,6,2015,1,"E6","PAIN",7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,161,"0","0"
"181",10,6,2015,1,"F1","PAIN",18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,414,"0","0"
"182",10,6,2015,1,"F2","PAIN",22,1,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,506,"0","0"
"183",10,6,2015,1,"F3","PAIN",12,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,276,"0","0"
"184",10,6,2015,1,"F4","PAIN",9,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,207,"0","0"
"185",10,6,2015,1,"F5","PAIN",26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,598,"0","0"
"186",10,6,2015,1,"F6","PAIN",13,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,299,"0","0"
"187",10,6,2015,1,"F6","PUPA",4,0,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,272,"0","0"
"188",10,6,2015,1,"F6","PUPA",5,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,340,"0","0"
"189",10,6,2015,1,"F6","PUPA",11,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,748,"0","0"
"190",10,6,2015,2,"E1","PAIN",6,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,138,"0","0"
"191",10,6,2015,2,"E2","PAIN",3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,69,"0","0"
"192",10,6,2015,2,"E3","PAIN",5,0,2,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,115,"0","0"
"193",10,6,2015,2,"E4","PAIN",7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,161,"0","0"
"194",10,6,2015,2,"E5","PAIN",14,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,322,"0","0"
"195",10,6,2015,2,"E6","PUPA",4,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,272,"0","0"
"196",10,6,2015,2,"E6","PUPA",2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,136,"0","0"
"197",10,6,2015,2,"E6","PAIN",4,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,0,0,92,"0","0"
"198",10,6,2015,2,"F1","PAIN",2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,46,"0","0"
"199",10,6,2015,2,"F2","PAIN",5,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,115,"0","0"
"200",10,6,2015,2,"F3","PAIN",3,0,0,0,8,0,0,0,4,3,0,0,0,0,0,0,0,0,0,69,"0","0"
"201",10,6,2015,2,"F4","PAIN",13,0,2,0,8,0,1,0,1,2,0,0,0,0,0,0,0,0,0,299,"0","0"
"202",10,6,2015,2,"F5","PAIN",2,0,0,0,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,46,"0","0"
"203",10,6,2015,2,"F5","PUPA",2,0,0,0,7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,136,"0","0"
"204",10,6,2015,2,"F6","PAIN",8,0,0,0,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,184,"0","0"
"205",10,6,2015,2,"F6","PUPA",5,0,0,0,0,0,1,1,1,3,0,0,2,0,0,0,0,0,0,340,"0","0"
